prompt_id,prompt,N,K,max_new_tokens,batch_tokens_generated,batch_rounds,batch_time,batch_tokens_per_second,batch_target_calls,batch_target_sequences_evaluated,batch_draft_calls,batch_total_accepted,chosen_path_drafted_tokens,total_draft_compute_tokens,best_path_acceptance_rate,compute_adjusted_acceptance_rate,generated_tokens_per_target_call,ar_tokens_generated,ar_time,ar_target_calls,speedup_vs_ar,dataset
14,"What is the average lifespan of a Golden Retriever?

Context: Golden Retrievers are a generally healthy breed; they have an average lifespan of 12 to 13 years. Irresponsible breeding to meet high demand has led to the prevalence of inherited health problems in some breed lines, including allergic skin conditions, eye problems and sometimes snappiness. These problems are rarely encountered in dogs bred from responsible breeders.",8,10,50,51,8,2.8873233795166016,17.66341808534743,8,64,80,43,80,640,0.5375,0.0671875,6.375,50,1.9099063873291016,50,0.6614799024170476,dolly_15k
15,Who became king of Holland in 1806?,1,2,50,51,27,1.5781457424163818,32.31640692570714,27,27,54,24,54,54,0.4444444444444444,0.4444444444444444,1.8888888888888888,50,1.8747849464416504,50,1.1879669260274204,dolly_15k
15,Who became king of Holland in 1806?,1,4,50,53,18,1.4047033786773682,37.73038550665651,18,18,72,35,72,72,0.4861111111111111,0.4861111111111111,2.9444444444444446,50,1.8747849464416504,50,1.334648278704148,dolly_15k
15,Who became king of Holland in 1806?,1,6,50,51,18,1.790980100631714,28.476028283067635,18,18,108,33,108,108,0.3055555555555556,0.3055555555555556,2.833333333333333,50,1.8747849464416504,50,1.0467927286184682,dolly_15k
15,Who became king of Holland in 1806?,1,8,50,51,16,1.891441822052002,26.96355732721968,16,16,128,35,128,128,0.2734375,0.2734375,3.1875,50,1.8747849464416504,50,0.9911935564625082,dolly_15k
15,Who became king of Holland in 1806?,1,10,50,50,19,2.600945949554444,19.223775107116424,19,19,190,31,190,190,0.1631578947368421,0.1631578947368421,2.631578947368421,50,1.8747849464416504,50,0.720808883692032,dolly_15k
15,Who became king of Holland in 1806?,2,2,50,50,19,1.1192903518676758,44.67116143417904,19,38,38,31,38,76,0.8157894736842105,0.4078947368421052,2.631578947368421,50,1.8747849464416504,50,1.6749764199372732,dolly_15k
15,Who became king of Holland in 1806?,2,4,50,53,17,1.3490753173828125,39.28616832366281,17,34,68,36,68,136,0.5294117647058824,0.2647058823529412,3.117647058823529,50,1.8747849464416504,50,1.3896814523882235,dolly_15k
15,Who became king of Holland in 1806?,2,6,50,50,19,1.87207555770874,26.70832370740191,19,38,114,31,114,228,0.2719298245614035,0.1359649122807017,2.631578947368421,50,1.8747849464416504,50,1.001447264626555,dolly_15k
15,Who became king of Holland in 1806?,2,8,50,50,12,1.447293996810913,34.54723097737856,12,24,96,38,96,192,0.3958333333333333,0.1979166666666666,4.166666666666667,50,1.8747849464416504,50,1.2953725715526396,dolly_15k
15,Who became king of Holland in 1806?,2,10,50,51,15,2.1644201278686523,23.562893055435,15,30,150,36,150,300,0.24,0.12,3.4,50,1.8747849464416504,50,0.8661834744106675,dolly_15k
15,Who became king of Holland in 1806?,4,2,50,50,18,1.2118830680847168,41.25810593180492,18,72,36,32,36,144,0.8888888888888888,0.2222222222222222,2.7777777777777777,50,1.8747849464416504,50,1.5470015183928565,dolly_15k
15,Who became king of Holland in 1806?,4,4,50,52,11,0.9697086811065674,53.62435235772154,11,44,44,41,44,176,0.9318181818181818,0.2329545454545454,4.727272727272728,50,1.8747849464416504,50,1.9333486262103683,dolly_15k
15,Who became king of Holland in 1806?,4,6,50,51,15,1.6447720527648926,31.007336192433502,15,60,90,36,90,360,0.4,0.1,3.4,50,1.8747849464416504,50,1.1398448455456802,dolly_15k
15,Who became king of Holland in 1806?,4,8,50,19,5,0.6096482276916504,31.16551338456424,5,20,40,14,40,160,0.35,0.0875,3.8,50,1.8747849464416504,50,3.0751913337635166,dolly_15k
15,Who became king of Holland in 1806?,4,10,50,51,13,1.989001989364624,25.64099999532513,13,52,130,38,130,520,0.2923076923076923,0.073076923076923,3.923076923076923,50,1.8747849464416504,50,0.9425757020185488,dolly_15k
15,Who became king of Holland in 1806?,6,2,50,51,17,1.366032600402832,37.33439449758411,17,102,34,34,34,204,1.0,0.1666666666666666,3.0,50,1.8747849464416504,50,1.3724306036977385,dolly_15k
15,Who became king of Holland in 1806?,6,4,50,51,11,1.1346449851989746,44.94797991025933,11,66,44,40,44,264,0.9090909090909092,0.1515151515151515,4.636363636363637,50,1.8747849464416504,50,1.6523097276218806,dolly_15k
15,Who became king of Holland in 1806?,6,6,50,53,8,1.0192630290985107,51.99835419016028,8,48,48,45,48,288,0.9375,0.15625,6.625,50,1.8747849464416504,50,1.8393534278387471,dolly_15k
15,Who became king of Holland in 1806?,6,8,50,53,10,1.5829882621765137,33.480981044754046,10,60,80,43,80,480,0.5375,0.0895833333333333,5.3,50,1.8747849464416504,50,1.1843328161283608,dolly_15k
15,Who became king of Holland in 1806?,6,10,50,51,8,1.3640334606170654,37.3891121240739,8,48,80,43,80,480,0.5375,0.0895833333333333,6.375,50,1.8747849464416504,50,1.3744420504124069,dolly_15k
15,Who became king of Holland in 1806?,8,2,50,51,17,1.5838661193847656,32.19969123388431,17,136,34,34,34,272,1.0,0.125,3.0,50,1.8747849464416504,50,1.1836764001050093,dolly_15k
15,Who became king of Holland in 1806?,8,4,50,50,10,1.157337665557861,43.20260325745031,10,80,40,40,40,320,1.0,0.125,5.0,50,1.8747849464416504,50,1.619911804683177,dolly_15k
15,Who became king of Holland in 1806?,8,6,50,51,8,1.1350765228271484,44.93089141952623,8,64,48,43,48,384,0.8958333333333334,0.1119791666666666,6.375,50,1.8747849464416504,50,1.6516815463437668,dolly_15k
15,Who became king of Holland in 1806?,8,8,50,52,8,1.3076698780059814,39.76538794278333,8,64,64,44,64,512,0.6875,0.0859375,6.5,50,1.8747849464416504,50,1.433683667395048,dolly_15k
15,Who became king of Holland in 1806?,8,10,50,52,8,1.5236291885375977,34.1290390018784,8,64,80,44,80,640,0.55,0.06875,6.5,50,1.8747849464416504,50,1.2304732414854151,dolly_15k
16,What is best Playstation or Xbox,1,2,50,51,24,1.4516899585723877,35.131468464625954,24,24,48,27,48,48,0.5625,0.5625,2.125,50,1.8575658798217771,50,1.2795885711357635,dolly_15k
16,What is best Playstation or Xbox,1,4,50,52,25,1.981772184371948,26.239141113225152,25,25,100,27,100,100,0.27,0.27,2.08,50,1.8575658798217771,50,0.93732563937992,dolly_15k
16,What is best Playstation or Xbox,1,6,50,50,16,1.5742061138153076,31.76204155300734,16,16,96,34,96,96,0.3541666666666667,0.3541666666666667,3.125,50,1.8575658798217771,50,1.1800016932469586,dolly_15k
16,What is best Playstation or Xbox,1,8,50,50,21,2.471646547317505,20.229429670785795,21,21,168,29,168,168,0.1726190476190476,0.1726190476190476,2.380952380952381,50,1.8575658798217771,50,0.7515499664941196,dolly_15k
16,What is best Playstation or Xbox,1,10,50,50,18,2.4733691215515137,20.215340914677395,18,18,180,32,180,180,0.1777777777777777,0.1777777777777777,2.7777777777777777,50,1.8575658798217771,50,0.7510265506413978,dolly_15k
